./crack-identify/Denoising_verify_images\103-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\20104-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20122-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20153-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\20255-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20273-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20302-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\20316-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20323-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20335-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\20348-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20350-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20367-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20383-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20388-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20412-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\20421-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20429-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20451-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20471-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20489-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\20573-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\22582-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22583-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22588-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22603-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22611-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22612-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22614-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22623-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22625-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22626-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22631-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22632-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22634-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22636-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22637-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22649-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22650-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22652-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22657-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22668-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22669-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22673-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22675-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22676-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22682-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22683-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22692-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22694-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22696-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22699-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22704-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22710-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22714-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22719-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22722-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22723-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22725-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22733-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22743-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22746-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22747-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22748-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22757-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22762-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22767-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22786-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22792-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22799-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22808-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22809-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22815-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22817-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22819-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22822-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22826-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22837-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22846-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22847-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22848-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22852-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22857-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22862-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22871-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22877-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22881-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22882-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22885-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22886-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22890-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22891-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22895-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22900-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22902-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22909-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22910-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22916-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22918-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22936-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\22942-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\22944-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22946-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\22949-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22950-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\22954-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\22957-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\22964-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22966-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22978-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22979-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22983-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22985-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22986-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22987-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\22988-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22989-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\22997-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\22998-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23002-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23004-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23010-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23011-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23012-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23016-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23018-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23037-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23043-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23044-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23045-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23046-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23048-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23052-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23054-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23057-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23060-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23062-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23067-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23072-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23081-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23090-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23096-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23098-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23099-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23106-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23108-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23109-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23114-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23127-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23133-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23135-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23152-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23153-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23177-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23178-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23186-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23197-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23200-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23203-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23227-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23231-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23232-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23258-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23283-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23287-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23292-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23304-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23308-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23310-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23323-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23326-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23333-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23337-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23342-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23343-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23358-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23359-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23362-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23382-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23385-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23387-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23390-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23400-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23402-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23409-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23410-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23417-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23420-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23425-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23436-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23445-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23453-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23457-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23461-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23467-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23468-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23472-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23477-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23488-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23496-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23508-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23519-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23525-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23528-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23529-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23534-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23548-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23556-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23558-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23561-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23563-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23570-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23583-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23589-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23599-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23633-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23636-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23645-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23649-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23668-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23672-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23697-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23698-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23702-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23704-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23715-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23720-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23721-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23732-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23733-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23741-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23744-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23745-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23749-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23754-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23764-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23783-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23785-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23787-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23789-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23792-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23797-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23798-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23811-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23812-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23813-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23814-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23816-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23817-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23829-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23830-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23839-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23848-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23852-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23855-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23857-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23864-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23873-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23874-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23875-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23884-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\23886-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23890-out_ori.jpg: Predicted: 1, True label: 1
./crack-identify/Denoising_verify_images\23916-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23918-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23921-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23924-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23934-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23961-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23962-out_ori.jpg: Predicted: 1, True label: 0
./crack-identify/Denoising_verify_images\23975-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23978-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23991-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\23992-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\24-out_ori.jpg: Predicted: 0, True label: 1
./crack-identify/Denoising_verify_images\24002-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\24008-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\24010-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\24014-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\24017-out_ori.jpg: Predicted: 0, True label: 0
./crack-identify/Denoising_verify_images\24020-out_ori.jpg: Predicted: 0, True label: 0
